BOS CELTICS, 0022200163, Nov 9, vs DET, 112 - 128, TD Garden, Week 4
BOS CELTICS, 0022200176, Nov 11, vs DEN, 112 - 131, TD Garden, Week 4
BOS CELTICS, 0022200186, Nov 12, @ DET, 108 - 117, Little Caesars Arena, Week 4
BOS CELTICS, 0022200201, Nov 14, vs OKC, 122 - 126, TD Garden, Week 5
BOS CELTICS, 0022200214, Nov 16, @ ATL, 101 - 126, State Farm Arena, Week 5
BOS CELTICS, 0022200231, Nov 18, @ NOP, 109 - 117, Smoothie King Center, Week 5
BOS CELTICS, 0022200250, Nov 21, @ CHI, 121 - 107, United Center, Week 6
BOS CELTICS, 0022200264, Nov 23, vs DAL, 112 - 125, TD Garden, Week 6
BOS CELTICS, 0022200275, Nov 25, vs SAC, 104 - 122, TD Garden, Week 6
BOS CELTICS, 0022200294, Nov 27, vs WAS, 121 - 130, TD Garden, Week 6
BOS CELTICS, 0022200301, Nov 28, vs CHA, 105 - 140, TD Garden, Week 7
BOS CELTICS, 0022200314, Nov 30, vs MIA, 121 - 134, TD Garden, Week 7
BOS CELTICS, 0022200328, Dec 2, vs MIA, 120 - 116, TD Garden, Week 7
BOS CELTICS, 0022200346, Dec 4, @ BKN, 92 - 103, Barclays Center, Week 7
BOS CELTICS, 0022200355, Dec 5, @ TOR, 110 - 116, Scotiabank Arena, Week 8
BOS CELTICS, 0022200373, Dec 7, @ PHX, 98 - 125, Footprint Center, Week 8
BOS CELTICS, 0022200392, Dec 10, @ GSW, 123 - 107, Chase Center, Week 8
BOS CELTICS, 0022200408, Dec 12, @ LAC, 113 - 93, Crypto.com Arena, Week 9
BOS CELTICS, 0022200413, Dec 13, @ LAL, 118 - 122, Crypto.com Arena, Week 9
BOS CELTICS, 0022200430, Dec 16, vs ORL, 117 - 109, TD Garden, Week 9
BOS CELTICS, 0022200445, Dec 18, vs ORL, 95 - 92, TD Garden, Week 9
BOS CELTICS, 0022200469, Dec 21, vs IND, 117 - 112, TD Garden, Week 10
BOS CELTICS, 0022200482, Dec 23, vs MIN, 109 - 121, TD Garden, Week 10
BOS CELTICS, 0022200495, Dec 25, vs MIL, 118 - 139, TD Garden, Week 10
BOS CELTICS, 0022200507, Dec 27, vs HOU, 102 - 126, TD Garden, Week 11
BOS CELTICS, 0022200525, Dec 29, vs LAC, 110 - 116, TD Garden, Week 11
BOS CELTICS, 0022200549, Jan 1, @ DEN, 123 - 111, Ball Arena, Week 11
BOS CELTICS, 0022200562, Jan 3, @ OKC, 150 - 117, Paycom Center, Week 12
BOS CELTICS, 0022200577, Jan 5, @ DAL, 95 - 124, American Airlines Center, Week 12
BOS CELTICS, 0022200591, Jan 7, @ SAS, 116 - 121, AT&T Center, Week 12
BOS CELTICS, 0022200606, Jan 9, vs CHI, 99 - 107, TD Garden, Week 13
BOS CELTICS, 0022200621, Jan 11, vs NOP, 114 - 125, TD Garden, Week 13
BOS CELTICS, 0022200627, Jan 12, @ BKN, 98 - 109, Barclays Center, Week 13
BOS CELTICS, 0022200642, Jan 14, @ CHA, 106 - 122, Spectrum Center, Week 13
BOS CELTICS, 0022200656, Jan 16, @ CHA, 118 - 130, Spectrum Center, Week 14
BOS CELTICS, 0022200679, Jan 19, vs GSW, 118 - 121, TD Garden, Week 14
BOS CELTICS, 0022200692, Jan 21, @ TOR, 104 - 106, Scotiabank Arena, Week 14
BOS CELTICS, 0022200707, Jan 23, @ ORL, 113 - 98, Amway Center, Week 15
BOS CELTICS, 0022200714, Jan 24, @ MIA, 98 - 95, Miami-Dade Arena, Week 15
BOS CELTICS, 0022200730, Jan 26, vs NYK, 120 - 117, TD Garden, Week 15
BOS CELTICS, 0022200749, Jan 28, vs LAL, 121 - 125, TD Garden, Week 15
BOS CELTICS, 0022200772, Feb 1, vs BKN, 96 - 139, TD Garden, Week 16
BOS CELTICS, 0022200788, Feb 3, vs PHX, 106 - 94, TD Garden, Week 16
BOS CELTICS, 0022200808, Feb 6, @ DET, 99 - 111, Little Caesars Arena, Week 17
BOS CELTICS, 0022200824, Feb 8, vs PHI, 99 - 106, TD Garden, Week 17
BOS CELTICS, 0022200838, Feb 10, vs CHA, 116 - 127, TD Garden, Week 17
BOS CELTICS, 0022200855, Feb 12, vs MEM, 109 - 119, TD Garden, Week 17
